## check_trace_to_scheme_export_closeout_v64.py
returncode=0
PASS exists_paper_TRACE_TO_SCHEME_EXPORT_CLOSEOUT_v64.tex
PASS exists_tables_claim_ladder_definitions_v64.csv
PASS exists_tables_trace_to_scheme_closeout_registry_v64.csv
PASS exists_tables_trace_to_scheme_accomplishments_v64.csv
PASS exists_tables_no_smuggling_closeout_matrix_v64.csv
PASS exists_tables_export_gate_closeout_v64.csv
PASS exists_tables_post_closeout_next_queue_v64.csv
PASS exists_reports_trace_to_scheme_export_closeout_v64_data.json
PASS exists_reports_trace_to_scheme_export_closeout_summary_v64.md
PASS exists_README_v64.md
PASS json_stamp
PASS json_version_v64
PASS architecture_closed
PASS no_global_physical_final
PASS no_sector_physical_final
PASS sector_count_six
PASS physical_final_count_zero
PASS ladder_has_P_trace
PASS ladder_has_P_source
PASS ladder_has_P_route
PASS ladder_has_P_export_candidate
PASS ladder_has_P_covariance_admitted
PASS ladder_has_P_codomain_completion
PASS ladder_has_P_external_ledger_boundary
PASS ladder_has_P_physical_final
PASS ladder_rank_order
PASS physical_final_not_assigned_text
PASS registry_six_rows
PASS sector_registered_EW_W
PASS sector_registered_charged_leptons
PASS sector_registered_charm
PASS sector_registered_bottom
PASS sector_registered_top
PASS sector_registered_light_quarks
PASS w_completion
PASS leptons_qed_boundary
PASS charm_covariance_admitted
PASS bottom_covariance_admitted
PASS top_direct_msr_completion
PASS top_pole_branch_knockout
PASS light_chilat_boundary
PASS no_physical_final_registry_EW_W
PASS must_not_claim_populated_EW_W
PASS open_boundary_populated_EW_W
PASS no_physical_final_registry_charged_leptons
PASS must_not_claim_populated_charged_leptons
PASS open_boundary_populated_charged_leptons
PASS no_physical_final_registry_charm
PASS must_not_claim_populated_charm
PASS open_boundary_populated_charm
PASS no_physical_final_registry_bottom
PASS must_not_claim_populated_bottom
PASS open_boundary_populated_bottom
PASS no_physical_final_registry_top
PASS must_not_claim_populated_top
PASS open_boundary_populated_top
PASS no_physical_final_registry_light_quarks
PASS must_not_claim_populated_light_quarks
PASS open_boundary_populated_light_quarks
PASS six_gates
PASS gate_present_G1
PASS gate_present_G2
PASS gate_present_G3
PASS gate_present_G4
PASS gate_present_G5
PASS gate_present_G6
PASS g1_codomain
PASS g2_transport
PASS g3_ledger
PASS g4_covariance
PASS g5_smuggling
PASS g6_residual
PASS no_smuggling_six_rules
PASS no_smuggling_contains_inverse_solving
PASS no_smuggling_contains_identity_transport
PASS no_smuggling_contains_direct_MC_top
PASS no_smuggling_contains_QED_QCD_running
PASS no_smuggling_contains_unauthorized_averaging
PASS no_smuggling_contains_light_quark_export
PASS accomplishments_has_export_architecture
PASS accomplishments_has_global_not_claimed
PASS next_queue_has_manuscript
PASS next_queue_has_chilat
PASS tex_contains_Trace_to_Scheme_Export_Closeout
PASS tex_contains_No_sector_is_assigned
PASS tex_contains_m_t_rm_MSR_R_rm_EW_
PASS tex_contains_pole_branch_knockout
PASS tex_contains_no_inverse_solving
PASS tex_contains_Final_closeout_theorem
PASS tex_contains_TRACE_TO_SCHEME_EXPORT_CLOSEOUT_PASS
PASS tex_has_top_msr_value
PASS tex_has_top_pole_knockout
PASS tex_has_rew_value
Total checks: 93/93
TRACE_TO_SCHEME_EXPORT_CLOSEOUT_PASS


