TRACE_TO_SCHEME_EXPORT_THEOREM_PASS                                    42/42
TOP_MSR_SCALE_SELECTION_THEOREM_PASS                                   85/85
CHARGED_LEPTON_RESIDUAL_OPERATOR_FORM_PASS                             122/122
CHARGED_LEPTON_COEFFICIENT_CLOSURE_PASS                                156/156
CHARGED_LEPTON_TRACE_VECTOR_SOURCE_GATE_PASS                           188/188
CHARGED_LEPTON_TRACE_VECTOR_CLOSURE_PASS                               152/152
CHARGED_LEPTON_QED_RESIDUAL_SHAPE_WITNESS_PASS                         134/134
CHARGED_LEPTON_QED_SCALAR_NORMALIZATION_COUNT_SOURCE_PASS              163/163
CHARGED_LEPTON_QED_COVARIANCE_RUNNING_CODOMAIN_PASS                    156/156
CHARGED_LEPTON_QED_RUNNING_TRANSPORT_THEOREM_PASS                      131/131
CHARGED_LEPTON_POLE_COMPLETION_AND_QED_LEDGER_THEOREM_PASS             171/171
CHARGED_LEPTON_CODATA_LEDGER_AND_LO_QED_TRANSPORT_PASS                 158/158
CHARGED_LEPTON_FULL_QED_RUNNING_LEDGER_AND_COVARIANCE_EVALUATION_PASS  154/154
CHARGED_LEPTON_QED_CLOSURE_BOUNDARY_THEOREM_PASS                       190/190
CHARM_TRACE_TO_MSBAR_NORMALIZATION_TRANSPORT_PASS                      135/135
BOTTOM_TOP_CHARM_SHARED_QCD_COVARIANCE_LEDGER_PASS                     145/145
LIGHT_QUARK_CHIRAL_LATTICE_TRANSPORT_GATE_PASS                         95/95
