item,value,unit,source,role
m_t^MSR(R_star),168.169055793800,GeV,APF v37/v57 top MSR route object,source APF object; not a pole/MC mass
R_star,85.857222698385,GeV,APF v37 scale selector 0.5*(T_t+(3/68)T_W),MSR scale
alpha_s(M_Z),0.118000000000,dimensionless,PDG 2025 QCD review world average,external QCD constant; comparison-independent
sigma_alpha_s(M_Z),0.000900000000,dimensionless,PDG 2025 QCD review world average uncertainty,external covariance input
M_Z,91.187600000000,GeV,standard electroweak reference scale,running reference scale
n_f,5,count,five-flavor running below top threshold,one-loop beta-function convention
beta_0,7.666666666667,dimensionless,11-2n_f/3,one-loop running coefficient
C_F,1.333333333333,dimensionless,SU(3) fundamental color factor,one-loop pole/MSR conversion coefficient
PDG direct top average,172.560000000000,GeV,PDG 2025 top-quark mass direct-measurement average,external audit only; MC/pole-proxy comparison
PDG direct top uncertainty,0.310000000000,GeV,PDG 2025 listed uncertainty with scale factor 1.6,external audit covariance
