ell,a_ell,m_ell,a_ell_times_m_ell,qualitative_role
2,8.333333e+02,0.102129,8.510755e+01,strong_suppression
3,5.555556e+02,0.359384,1.996578e+02,partial_suppression
4,4.090909e+02,0.736487,3.012901e+02,mild_suppression
5,3.188406e+02,1.067492,3.403597e+02,near_standard
6,2.579365e+02,1.192153,3.074998e+02,mild_rebound
7,2.142857e+02,1.102818,2.363180e+02,mild_rebound
8,1.816239e+02,0.950404,1.726161e+02,near_standard
9,1.563786e+02,0.893954,1.397953e+02,mild_suppression
10,1.363636e+02,0.957812,1.306108e+02,near_standard
11,1.201672e+02,1.044554,1.255211e+02,near_standard
12,1.068376e+02,1.061553,1.134137e+02,near_standard
13,9.571074e+01,1.013281,9.698186e+01,near_standard
14,8.630952e+01,0.965583,8.333899e+01,near_standard
15,7.828283e+01,0.964802,7.552746e+01,near_standard
16,7.136678e+01,0.998572,7.126485e+01,near_standard
17,6.535948e+01,1.024682,6.697268e+01,near_standard
18,6.010396e+01,1.019992,6.130555e+01,near_standard
19,5.547653e+01,0.997232,5.532300e+01,near_standard
20,5.137845e+01,0.982875,5.049859e+01,near_standard
21,4.773005e+01,0.988575,4.718473e+01,near_standard
22,4.446640e+01,1.003900,4.463983e+01,near_standard
23,4.153411e+01,1.011852,4.202637e+01,near_standard
24,3.888889e+01,1.006403,3.913791e+01,near_standard
25,3.649374e+01,0.995900,3.634412e+01,near_standard
26,3.431753e+01,0.991839,3.403746e+01,near_standard
27,3.233392e+01,0.997155,3.224194e+01,near_standard
28,3.052045e+01,1.004451,3.065629e+01,near_standard
29,2.885791e+01,1.004596,2.899053e+01,near_standard
30,2.732975e+01,0.995459,2.720565e+01,near_standard
